Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,SC,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,SC,F,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,ST,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,ST,F,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-A,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-A,F,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-B,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-B,F,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-C,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-C,F,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-D,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-D,F,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-E,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-E,F,125589
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,OC,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,OC,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,SC,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,SC,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,ST,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,ST,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-A,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-A,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-B,M,128381
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-B,F,128381
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-C,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-C,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-D,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-D,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-E,M,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CIV,BC-E,F,98271
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,OC,M,98906
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,OC,F,98906
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,SC,M,98906
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,SC,F,98906
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,ST,M,122085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,ST,F,122085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-A,M,102028
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-A,F,115185
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-B,M,130159
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-B,F,130159
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-C,M,103324
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-C,F,103324
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-D,M,128987
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-D,F,128987
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-E,M,98906
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,BC-E,F,106366
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,OC_EWS,M,92842
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,CSE,OC_EWS,F,125248
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,OC,M,84519
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,OC,F,105627
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,SC,M,118096
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,SC,F,118096
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,ST,M,103288
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,ST,F,105627
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-A,M,111089
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-A,F,111089
